address,rooms,price,link,date
"Минск, Германовская улица, 17",1,250.00,https://r.onliner.by/ak/apartments/274703,2017-11-18T23:48:30+0300
"Минск, улица Платонова, 35 к2",1,600.00,https://r.onliner.by/ak/apartments/14006,2017-11-18T19:57:48+0300
"Минск, улица Левкова, 45",1,300.00,https://r.onliner.by/ak/apartments/274664,2017-11-18T18:49:11+0300
"Минск, улица Янки Лучины",1,250.00,https://r.onliner.by/ak/apartments/274549,2017-11-18T11:03:35+0300
"Минск, проспект Дзержинского, 122",1,300.00,https://r.onliner.by/ak/apartments/257210,2017-11-17T23:25:56+0300
"Минск, улица Ольшевского, 32",1,230.00,https://r.onliner.by/ak/apartments/274473,2017-11-17T21:19:58+0300
"ПК «Новое Дроздово», Боровляны, Купаловская улица, 12",1,500.00,https://r.onliner.by/ak/apartments/257224,2017-11-17T19:57:47+0300
"Минск, улица Рафиева, 94",1,240.00,https://r.onliner.by/ak/apartments/274368,2017-11-17T16:18:47+0300
"Бабичи, Тишковка - Головки",1,180.00,https://r.onliner.by/ak/apartments/74208,2017-11-17T16:04:13+0300
"Гомель, улица Головацкого, 112",1,120.00,https://r.onliner.by/ak/apartments/247738,2017-11-17T14:37:23+0300
"Минск, Великоморская улица, 6",1,250.00,https://r.onliner.by/ak/apartments/274318,2017-11-17T13:16:45+0300
"Минск, улица Сурганова, 52",1,290.00,https://r.onliner.by/ak/apartments/139815,2017-11-17T09:53:08+0300
"Минск, улица Якубовского, 38",1,210.00,https://r.onliner.by/ak/apartments/166340,2017-11-16T19:15:56+0300
"Могилёв, улица Турова, 20",1,300.00,https://r.onliner.by/ak/apartments/273683,2017-11-16T00:08:21+0300
"Минск, улица Притыцкого, 97",1,300.00,https://r.onliner.by/ak/apartments/273028,2017-11-15T18:52:38+0300
"Минск, Бакинская улица, 6",1,290.00,https://r.onliner.by/ak/apartments/136852,2017-11-15T16:02:36+0300
"Минск, улица Славинского, 9",1,180.00,https://r.onliner.by/ak/apartments/108482,2017-11-15T15:31:20+0300
"Минск, улица Юрия Семеняко, 30",1,250.00,https://r.onliner.by/ak/apartments/272555,2017-11-15T14:13:36+0300
"Минск, Алтайская улица, 102 к1",1,350.00,https://r.onliner.by/ak/apartments/273820,2017-11-15T12:04:53+0300
"Минск, улица Максима Богдановича, 53",1,275.00,https://r.onliner.by/ak/apartments/273812,2017-11-15T11:44:22+0300
"Минск, Партизанский проспект, 93",1,250.00,https://r.onliner.by/ak/apartments/15534,2017-11-15T11:17:46+0300
"Минск, Кальварийская улица, 5",1,290.00,https://r.onliner.by/ak/apartments/270313,2017-11-15T09:20:51+0300
